127.0.0.1 - - [19/Oct/2017:23:29:56 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:29:57 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:29:57 +0800] "GET /MiniTracker/js/Attribute.js HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:29:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:29:58 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:29:58 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:21 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:21 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:21 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:32 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:56 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:31:56 +0800] "GET /MiniTracker/js/Attribute.js HTTP/1.1" 200 2220
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:15 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:16 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:16 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:36 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:36 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:36 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:41 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:41 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:32:41 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:33:12 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:33:12 +0800] "GET /MiniTracker/js/Attribute.js HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:33:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:33:12 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:33:12 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:34:02 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:34:02 +0800] "GET /MiniTracker/js/Attribute.js HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:34:02 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Oct/2017:23:34:02 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 753
