127.0.0.1 - - [14/Dec/2017:22:34:02 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:03 +0800] "GET /MiniTracker/Template.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:03 +0800] "GET /MiniTracker/js/Template.js HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:03 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:03 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:13 +0800] "GET /MiniTracker/Template.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:13 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:13 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:22 +0800] "GET /MiniTracker/Template.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:22 +0800] "GET /MiniTracker/js/Template.js HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:23 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:23 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:26 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:26 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:35 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [14/Dec/2017:22:34:37 +0800] "POST /MiniTracker/Template.do HTTP/1.1" 200 221
